iter	Logloss
0	0.6386921313
1	0.5819704906
2	0.5399175533
3	0.5082353428
4	0.4830228551
5	0.4200569711
6	0.4031003474
7	0.3885397939
8	0.3658270819
9	0.3559520841
10	0.3443639435
11	0.3369673306
12	0.3297433878
13	0.3189451137
14	0.3104595265
15	0.3037807122
16	0.2912950215
17	0.285995139
18	0.2793894551
19	0.2742855664
20	0.270161725
21	0.2646270054
22	0.2624490916
23	0.25986287
24	0.2559225786
25	0.2517480302
26	0.2476111424
27	0.2443557566
28	0.2411212395
29	0.2375174822
30	0.2333354678
31	0.2303495289
32	0.2278889872
33	0.224873105
34	0.2220708894
35	0.2190053163
36	0.216462371
37	0.2147224794
38	0.2122342439
39	0.209769848
40	0.207629607
41	0.2054690181
42	0.2022600439
43	0.2003901031
44	0.198172258
45	0.196607407
46	0.1937985017
47	0.1919675151
48	0.1890915502
49	0.1880502199
50	0.1865770348
51	0.184834695
52	0.1836757067
53	0.1817855041
54	0.1797821751
55	0.1778715273
56	0.1766714709
57	0.1751207291
58	0.1744887643
59	0.1715166207
60	0.1702568475
61	0.1681600071
62	0.1664314405
63	0.1646328582
64	0.1633509566
65	0.1616550033
66	0.1605344557
67	0.1595493608
68	0.1582962377
69	0.1566094621
70	0.1552403514
71	0.1481294199
72	0.146822077
73	0.145575757
74	0.1444284377
75	0.1426101803
76	0.1416373047
77	0.140573961
78	0.1395455841
79	0.1373277154
80	0.1362011416
81	0.1346918274
82	0.133582916
83	0.1323418826
84	0.1310725048
85	0.1298077088
86	0.129017233
87	0.1274310591
88	0.1258151226
89	0.1247155225
90	0.1239616942
91	0.1225399089
92	0.1216867696
93	0.1211796123
94	0.1202666033
95	0.1193926871
96	0.1187913369
97	0.1178843852
98	0.1170383759
99	0.1164659496
100	0.1155743174
101	0.1145249918
102	0.1137371413
103	0.1127590611
104	0.1120742449
105	0.110117238
106	0.1088539558
107	0.1079815314
108	0.1065756073
109	0.1058314532
110	0.1049303254
111	0.1039690939
112	0.1031046982
113	0.1023065793
114	0.1011301096
115	0.0998476284
116	0.09919720651
117	0.09834363632
118	0.09738468415
119	0.09646036677
120	0.09538101314
121	0.09469392948
122	0.0941181647
123	0.09303503785
124	0.09229013518
125	0.09162499113
126	0.09095921795
127	0.0900682673
128	0.08935093545
129	0.08869859006
130	0.08804135545
131	0.08724750955
132	0.08673065246
133	0.08610556002
134	0.08557061504
135	0.08477005576
136	0.08412273356
137	0.08384363504
138	0.0833278937
139	0.08279318181
140	0.08227069995
141	0.08176678568
142	0.08137965855
143	0.08110499135
144	0.08075938336
145	0.08015929128
146	0.07941245316
147	0.07912933958
148	0.0786240358
149	0.0781132749
150	0.07724006116
151	0.07668957862
152	0.07637298955
153	0.07586274179
154	0.0751476779
155	0.07443139382
156	0.07384189238
157	0.07332455415
158	0.07296529963
159	0.0721724015
160	0.07168960078
161	0.07127382688
162	0.07101218227
163	0.07062617407
164	0.07032994786
165	0.06977192062
166	0.06927696779
167	0.06861801187
168	0.06812419127
169	0.06782318499
170	0.06743510347
171	0.06688509911
172	0.06647215725
173	0.06596153742
174	0.06572134252
175	0.06524662518
176	0.06473141401
177	0.06407989078
178	0.06367782679
179	0.06319688947
180	0.06292333667
181	0.06249549966
182	0.06212485207
183	0.06172045332
184	0.06116686942
185	0.06065181603
186	0.06033269615
187	0.06006813256
188	0.05952453128
189	0.05925348772
190	0.05885553479
191	0.05826940712
192	0.05796037254
193	0.05775574484
194	0.05751820255
195	0.05716357741
196	0.05693187125
197	0.05652943159
198	0.05599238725
199	0.05576362769
200	0.05539393075
201	0.05512696913
202	0.05478236823
203	0.05454959734
204	0.05414319739
205	0.05373738548
